Supplementary table 7. The lists for statistical values in the study.,,,,,,
  Fig. 1c,ANOVA summary,,,,,
,F,0.2452,,,,
,P value,0.9408,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.01824,,,,
,,,,,,
,Time in interaction zone (s) with target,,,,,
,ANOVA summary,,,,,
,F,12.12,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4787,,,,
,,,,,,
  Fig. 1n ,Sucrose preference (%) in pre-stress,,,,,
,ANOVA summary,,,,,
,F,0.4852,,,,
,P value,0.7861,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.03545,,,,
, ,,,,,
,Sucrose preference (%) in test,,,,,
,ANOVA summary,,,,,
,F,11.92,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4746,,,,
,,,,,,
  Fig. 2b,pDRP1/DRP1 (%) in mPFC,,,,,
,ANOVA summary,,,,,
,F,11.49,,,,
,P value,0.0016,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.657,,,,
, ,,,,,
,DRP1/ tubulin (%) in mPFC,,,,,
,ANOVA summary,,,,,
,F,18.06,,,,
,P value,0.0002,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.7507,,,,
  Fig. 2c,Relative mRNA level (%) of Dnm1l mRNA in mPFC,,,,,
,ANOVA summary,,,,,
,F,46.89,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.8866,,,,
,,,,,,
,Correlation of Dnm1l mRNA level and social interaction ratio,,,,,
,Pearson r,,,,,
,r,-0.7386,,,,
,95% confidence interval,-0.9075 to -0.3642,,,,
,R squared,0.5456,,,,
,,,,,,
,P value,,,,,
,P (two-tailed),0.0017,,,,
,P value summary,**,,,,
,Significant? (alpha = 0.05),Yes,,,,
,,,,,,
,Number of XY Pairs,15,,,,
  Fig. 2e,DRP1 intensity in NeuN+ cells (%),,,,,
,ANOVA summary,,,,,
,F,27.84,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.7261,,,,
,,,,,,
,Correlation of DRP1 intensity in NeuN+ cells and social interaction ratio,,,,,
,Pearson r,,,,,
,r,-0.6989,,,,
,95% confidence interval,-0.8599 to -0.4115,,,,
,R squared,0.4885,,,,
,,,,,,
,P value,,,,,
,P (two-tailed),0.0001,,,,
,P value summary,***,,,,
,Significant? (alpha = 0.05),Yes,,,,
,,,,,,
,Number of XY Pairs,24,,,,
  Fig. 2g ,ANOVA summary,,,,,
,F,5.056,,,,
,P value,0.0161,,,,
,P value summary,*,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.325,,,,
,,,,,,
  Fig. 2i ,ANOVA summary,,,,,
,F,0.7189,,,,
,P value,0.4989,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.06408,,,,
  Fig. 2m ,Mitochondrial membrane potential (%) ,,,,,
,ANOVA summary,,,,,
,F,6.073,,,,
,P value,0.0041,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4767,,,,
, ,,,,,
,Mitochondrial ATP (%),,,,,
,ANOVA summary,,,,,
,F,8.967,,,,
,P value,0.0006,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.5736,,,,
,,,,,,
  Fig. 2n,Social interaction ratio,,,,,
,ANOVA summary,,,,,
,F,8.059,,,,
,P value,0.0003,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4018,,,,
,,,,,,
,Sucrose preference (%) ,,,,,
,ANOVA summary,,,,,
,F,8.03,,,,
,P value,0.0003,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4009,,,,
,,,,,,
  Fig. 2r ,Mitochondrial membrane potential (%) ,,,,,
,ANOVA summary,,,,,
,F,10.31,,,,
,P value,0.0003,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6073,,,,
, ,,,,,
,Mitochondrial ATP (%) ,,,,,
,ANOVA summary,,,,,
,F,4.86,,,,
,P value,0.0107,,,,
,P value summary,*,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4216,,,,
,,,,,,
  Fig. 2s ,Social interaction ratio,,,,,
,ANOVA summary,,,,,
,F,7.201,,,,
,P value,0.0008,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.403,,,,
, ,,,,,
,Sucrose preference (%),,,,,
,ANOVA summary,,,,,
,F,5.426,,,,
,P value,0.0039,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.3372,,,,
,,,,,,
  Fig. 3b,Relative mRNA level of Cebpb,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,0.0022,,,,
,P value summary,**,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=5.161, df=5.901",,,,
,,,,,,
,Relative mRNA level of Ctcf,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,0.2145,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=1.333, df=9.180",,,,
, ,,,,,
,Relative mRNA level of Rest,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,0.171,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=1.487, df=9.051",,,,
, ,,,,,
,Relative mRNA level of Gabpb,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,0.2121,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=1.369, df=7.200",,,,
,,,,,,
  Fig. 3c ,Pearson r,,,,,
,r,-0.7058,,,,
,95% confidence interval,-0.8820 to -0.3563,,,,
,R squared,0.4981,,,,
,,,,,,
,P value,,,,,
,P (two-tailed),0.0011,,,,
,P value summary,**,,,,
,Significant? (alpha = 0.05),Yes,,,,
,,,,,,
,Number of XY Pairs,18,,,,
,,,,,,
  Fig. 3f ,Pearson r,,,,,
,r,-0.6634,,,,
,95% confidence interval,-0.8416 to -0.3551,,,,
,R squared,0.4401,,,,
,,,,,,
,P value,,,,,
,P (two-tailed),0.0004,,,,
,P value summary,***,,,,
,Significant? (alpha = 0.05),Yes,,,,
,,,,,,
,Number of XY Pairs,24,,,,
,,,,,,
  Fig. 3g ,Pearson r,,,,,
,r,0.5352,,,,
,95% confidence interval,0.1681 to 0.7719,,,,
,R squared,0.2864,,,,
,,,,,,
,P value,,,,,
,P (two-tailed),0.007,,,,
,P value summary,**,,,,
,Significant? (alpha = 0.05),Yes,,,,
,,,,,,
,Number of XY Pairs,24,,,,
,,,,,,
  Fig. 3i ,ANOVA summary,,,,,
,F,9.171,,,,
,P value,0.0014,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4662,,,,
,,,,,,
  Fig. 3j ,Pearson r,,,,,
,r,0.6263,,,,
,95% confidence interval,0.2983 to 0.8220,,,,
,R squared,0.3923,,,,
,,,,,,
,P value,,,,,
,P (two-tailed),0.0011,,,,
,P value summary,**,,,,
,Significant? (alpha = 0.05),Yes,,,,
,,,,,,
,Number of XY Pairs,24,,,,
,,,,,,
  Fig. 3l,ANOVA summary,,,,,
,F,19.43,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.7691,,,,
,,,,,,
  Fig. 3n,ANOVA summary,,,,,
,F,22.69,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.8097,,,,
,,,,,,
  Fig. 3s,ANOVA summary,,,,,
,F,34.55,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.852,,,,
,,,,,,
  Fig. 3t,ANOVA summary,,,,,
,F,121.8,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.942,,,,
,,,,,,
  Fig. 3v,Unpaired t test with Welch's correction,,,,,
,P value,0.0002,,,,
,P value summary,***,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=5.486, df=10.98",,,,
,,,,,,
  Fig. 3w,ANOVA summary,,,,,
,F,23.44,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6346,,,,
,,,,,,
  Fig. 4b,ANOVA summary,,,,,
,F,22.54,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6622,,,,
,,,,,,
  Fig. 4c ,Pearson r,,,,,
,r,-0.5664,,,,
,95% confidence interval,-0.7821 to -0.2293,,,,
,R squared,0.3208,,,,
,,,,,,
,P value,,,,,
,P (two-tailed),0.0026,,,,
,P value summary,**,,,,
,Significant? (alpha = 0.05),Yes,,,,
,,,,,,
,Number of XY Pairs,26,,,,
,,,,,,
  Fig. 4g,C/EBPβ/Tubulin (%) in mPFC neuron,,,,,
,ANOVA summary,,,,,
,F,16.66,,,,
,P value,0.0003,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.7352,,,,
, ,,,,,
,DRP1/Tubulin (%) in mPFC neuron,,,,,
,ANOVA summary,,,,,
,F,42.18,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.8755,,,,
,,,,,,
  Fig. 4h,ANOVA summary,,,,,
,F,14.1,,,,
,P value,0.0004,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6527,,,,
,,,,,,
  Fig. 4i,ANOVA summary,,,,,
,F,16.8,,,,
,P value,0.0001,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6914,,,,
,,,,,,
  Fig. 4J,Social interaction ratio,,,,,
,ANOVA summary,,,,,
,F,19.83,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6134,,,,
, ,,,,,
,Time in interaction zone (s) with no target,,,,,
,ANOVA summary,,,,,
,F,0.3913,,,,
,P value,0.6802,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.03036,,,,
,,,,,,
,Time in interaction zone (s) with target,,,,,
,ANOVA summary,,,,,
,F,13.31,,,,
,P value,0.0001,,,,
,P value summary,***,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.5156,,,,
, ,,,,,
  Fig. 4k ,Sucrose preference (%) in pre-injection,,,,,
,ANOVA summary,,,,,
,F,0.2309,,,,
,P value,0.7955,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.01814,,,,
, ,,,,,
,Sucrose preference (%) in test,,,,,
,ANOVA summary,,,,,
,F,6.75,,,,
,P value,0.0045,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.3506,,,,
,,,,,,
  Fig. 4o,Human C/EBPβ/Tubulin (%) in mPFC neuron,,,,,
,ANOVA summary,,,,,
,F,0.3574,,,,
,P value,0.7845,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.0628,,,,
, ,,,,,
,DRP1/Tubulin (%) in mPFC neuron,,,,,
,ANOVA summary,,,,,
,F,24.56,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.8365,,,,
,,,,,,
  Fig. 4P,ANOVA summary,,,,,
,F,8.405,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.5835,,,,
,,,,,,
  Fig. 4q,ANOVA summary,,,,,
,F,8.408,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.5836,,,,
,,,,,,
  Fig. 4r,Social interaction ratio,,,,,
,ANOVA summary,,,,,
,F,4.163,,,,
,P value,0.0027,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.2641,,,,
, ,,,,,
,Time in interaction zone (s) with no target,,,,,
,ANOVA summary,,,,,
,F,0.2467,,,,
,P value,0.9398,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.02082,,,,
,,,,,,
,Time in interaction zone (s) with target,,,,,
,ANOVA summary,,,,,
,F,4.437,,,,
,P value,0.0017,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.2767,,,,
,,,,,,
  Fig. 4s,Sucrose preference (%) in pre-injection,,,,,
,ANOVA summary,,,,,
,F,0.978,,,,
,P value,0.439,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.07775,,,,
, ,,,,,
,Sucrose preference (%) in test,,,,,
,ANOVA summary,,,,,
,F,4.597,,,,
,P value,0.0013,,,,
,P value summary,**,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.2838,,,,
,,,,,,
  Fig. 5c ,C/EBPβ activity (%) in pre- AsCD,,,,,
,ANOVA summary,,,,,
,F,14.87,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.7986,,,,
, ,,,,,
,C/EBPβ activity (%) in post- AsCD,,,,,
,ANOVA summary,,,,,
,F,33.11,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.8983,,,,
,,,,,,
  Fig. 5d,Relative Cebpb mRNA level in pre-AsCD,,,,,
,ANOVA summary,,,,,
,F,0.3635,,,,
,P value,0.8307,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.08837,,,,
,,,,,,
,Relative Cebpb mRNA level in post- AsCD,,,,,
,ANOVA summary,,,,,
,F,1.31,,,,
,P value,0.3109,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.2589,,,,
,,,,,,
  Fig. 5f,ANOVA summary,,,,,
,F,105.4,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.9656,,,,
,,,,,,
  Fig. 5h ,IGF-1 level (%) in blood in post-AcSD,,,,,
,ANOVA summary,,,,,
,F,1.826,,,,
,P value,0.1554,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.2261,,,,
,,,,,,
,IGF-1 level (%) in mPFC in post-AcSD,,,,,
,ANOVA summary,,,,,
,F,31.95,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.8364,,,,
, ,,,,,
,IGF-1 level (%) in hippocampus in post-AcSD,,,,,
,ANOVA summary,,,,,
,F,3.986,,,,
,P value,0.0123,,,,
,P value summary,*,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.3894,,,,
, ,,,,,
,,,,,,
  Fig.5l ,Time in interaction zone (s) with no target,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,0.0029,,,,
,P value summary,**,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=3.518, df=15.97",,,,
,,,,,,
,Time in interaction zone (s) with target,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,0.0276,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=2.447, df=14.60",,,,
,,,,,,
  Fig. 5m ,Unpaired t test with Welch's correction,,,,,
,P value,0.0466,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=2.190, df=13.55",,,,
,,,,,,
  Fig. 5o,LAP/LIP ratio in mPFC neuron,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,0.0104,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=3.281, df=8.416",,,,
,,,,,,
,p-DRP1/DRP1 (%) in mPFC neuron,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,0.2136,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=1.329, df=9.983",,,,
,,,,,,
  Fig. 5q,Social interaction ratio in test,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,0.0016,,,,
,P value summary,**,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=3.811, df=15.62",,,,
, ,,,,,
,Time in interaction zone (s) with target,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,0.0107,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=3.115, df=10.18",,,,
,,,,,,
  Fig. 5r ,Sucrose preference (%) in pre-test,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,0.4074,,,,
,P value summary,ns,,,,
,Significantly different (P < 0.05)?,No,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=0.8513, df=15.74",,,,
, ,,,,,
,Sucrose preference (%) in test,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,0.0429,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=2.201, df=15.85",,,,
,,,,,,
  Fig. 6a,ANOVA summary,,,,,
,F,23.82,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.665,,,,
,,,,,,
  Fig. 6b,Pearson r,,,,,
,r,0.7633,,,,
,95% confidence interval,0.5337 to 0.8881,,,,
,R squared,0.5826,,,,
,,,,,,
,P value,,,,,
,P (two-tailed),<0.0001,,,,
,P value summary,****,,,,
,Significant? (alpha = 0.05),Yes,,,,
,,,,,,
,Number of XY Pairs,26,,,,
,,,,,,
  Fig. 6c,Pearson r,,,,,
,r,0.8878,,,,
,95% confidence interval,0.7188 to 0.9577,,,,
,R squared,0.7881,,,,
,,,,,,
,P value,,,,,
,P (two-tailed),<0.0001,,,,
,P value summary,****,,,,
,Significant? (alpha = 0.05),Yes,,,,
,,,,,,
,Number of XY Pairs,18,,,,
,,,,,,
  Fig. 6d,Pearson r,,,,,
,r,0.7259,,,,
,95% confidence interval,0.3918 to 0.8908,,,,
,R squared,0.5269,,,,
,,,,,,
,P value,,,,,
,P (two-tailed),0.0006,,,,
,P value summary,***,,,,
,Significant? (alpha = 0.05),Yes,,,,
,,,,,,
,Number of XY Pairs,18,,,,
,,,,,,
  Fig. 6f,ANOVA summary,,,,,
,F,20.44,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.7449,,,,
,,,,,,
  Fig. 6g,IGF-1 level (%) in mPFC,,,,,
,ANOVA summary,,,,,
,F,44.99,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.894,,,,
,IGF-1 level (%) in hippocampus,,,,,
,ANOVA summary,,,,,
,F,2.296,,,,
,P value,0.1167,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.3009,,,,
, ,,,,,
,IGF-1 level (%) in blood IGF-1,,,,,
,ANOVA summary,,,,,
,F,0.9366,,,,
,P value,0.446,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.1494,,,,
, ,,,,,
,,,,,,
  Fig. 6i ,ANOVA summary,,,,,
,F,12.6,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4209,,,,
,,,,,,
  Fig. 6j ,ANOVA summary,,,,,
,F,12.01,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4093,,,,
,,,,,,
  Fig. 6m,ANOVA summary,,,,,
,F,29.44,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.823,,,,
  Fig. 6n,IGF-1 level (%) in mPFC,,,,,
,ANOVA summary,,,,,
,F,54.89,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.9114,,,,
,,,,,,
,IGF-1 level (%) in hippocampus,,,,,
,ANOVA summary,,,,,
,F,4.114,,,,
,P value,0.0243,,,,
,P value summary,*,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4354,,,,
, ,,,,,
,IGF-1 level (%) in blood,,,,,
,ANOVA summary,,,,,
,F,3.212,,,,
,P value,0.0512,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.3759,,,,
, ,,,,,
  Fig. 6p,ANOVA summary,,,,,
,F,27.32,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.6164,,,,
  Fig. 6q,Sucrose preference (%) in pre-test,,,,,
,ANOVA summary,,,,,
,F,0.4923,,,,
,P value,0.6892,,,,
,P value summary,ns,,,,
,Significant diff. among means (P < 0.05)?,No,,,,
,R squared,0.02814,,,,
, ,,,,,
,Sucrose preference (%) in test,,,,,
,ANOVA summary,,,,,
,F,13.43,,,,
,P value,<0.0001,,,,
,P value summary,****,,,,
,Significant diff. among means (P < 0.05)?,Yes,,,,
,R squared,0.4413,,,,
, ,,,,,
  Fig. 7c,Maternal behavior sample points after L or LnL treatment,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,0.0145,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=5.238, df=2.923",,,,
,,,,,,
,Maternal behavior sample points in after saline and CNO treatment,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,0.0224,,,,
,P value summary,*,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=3.675, df=3.887",,,,
, ,,,,,
  Fig. 7d ,IGF-1 level (%) in mPFC after L or LnL treatment,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,0.006,,,,
,P value summary,**,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=3.582, df=8.891",,,,
, ,,,,,
,IGF-1 level (%) in mPFC after saline and CNO treatment,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,0.0009,,,,
,P value summary,***,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=4.340, df=12.10",,,,
  Fig. 7e,Relative Igf1 mRNA level in mPFC after L or LnL treatment,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,0.0005,,,,
,P value summary,***,,,,
,Significantly different (P < 0.05)?,Yes,,,,
,One- or two-tailed P value?,Two-tailed,,,,
,"Welch-corrected t, df","t=5.685, df=8.022",,,,
, ,,,,,
,Relative Igf1 mRNA level in mPFC after saline and CNO treatment,,,,,
,Unpaired t test with Welch's correction,,,,,
,P value,0.0032,,,,
,P value summary,**,,,,
